candidate_id,semantic_score,skill_match,matched_skills,experience,github,profile_score,response_rate,open_to_work,final_score
CAND_0042282,0.635,0.2,"embeddings, faiss, langchain, pinecone, rag",11.0,36.9,69.5,0.75,False,0.6158
CAND_0055414,0.6424,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",14.3,-1.0,56.3,0.3,True,0.6144
CAND_0096391,0.637,0.2,"embeddings, langchain, llms, pinecone, rag",9.8,19.6,83.5,0.74,False,0.6143
CAND_0086059,0.6474,0.16,"langchain, llms, pinecone, rag",14.2,-1.0,66.9,0.44,True,0.6143
CAND_0007915,0.6354,0.16,"embeddings, faiss, langchain, rag",10.9,-1.0,79.7,0.42,True,0.6142
CAND_0042262,0.6381,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",13.8,-1.0,52.0,0.43,True,0.6139
CAND_0065861,0.6419,0.08,"embeddings, pinecone",13.2,-1.0,76.8,0.73,True,0.6132
CAND_0065117,0.6315,0.16,"embeddings, langchain, pinecone, rag",11.3,-1.0,71.5,0.59,True,0.6132
CAND_0053507,0.6335,0.2,"embeddings, faiss, langchain, pinecone, rag",14.7,1.7,74.2,0.29,True,0.6131
CAND_0070585,0.6399,0.16,"embeddings, llms, pinecone, rag",14.0,26.6,82.9,0.64,False,0.6126
CAND_0042423,0.6457,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",11.9,-1.0,47.5,0.32,True,0.6122
CAND_0034735,0.6381,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.2,-1.0,71.7,0.7,False,0.6119
CAND_0065028,0.6511,0.2,"embeddings, faiss, langchain, llms, rag",12.5,32.9,52.5,0.67,False,0.6118
CAND_0066921,0.6569,0.16,"embeddings, langchain, llms, pinecone",14.6,5.2,32.3,0.72,True,0.6117
CAND_0037003,0.634,0.2,"faiss, langchain, llms, pinecone, rag",12.8,-1.0,73.7,0.26,True,0.6116
CAND_0044023,0.6437,0.16,"embeddings, langchain, llms, rag",9.7,-1.0,57.9,0.76,True,0.6116
CAND_0096290,0.6506,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",11.5,49.8,46.5,0.4,False,0.6115
CAND_0093043,0.6343,0.2,"embeddings, faiss, langchain, pinecone, rag",12.6,44.1,52.6,0.15,True,0.6112
CAND_0027138,0.634,0.2,"faiss, langchain, llms, pinecone, rag",12.6,20.9,28.3,0.78,True,0.6108
CAND_0055838,0.6458,0.2,"embeddings, faiss, langchain, llms, rag",12.0,-1.0,33.2,0.71,True,0.6108
CAND_0018484,0.6448,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",12.8,-1.0,75.4,0.48,False,0.6105
CAND_0089059,0.6337,0.2,"embeddings, faiss, langchain, pinecone, rag",12.9,-1.0,57.0,0.5,True,0.6104
CAND_0027651,0.6557,0.2,"embeddings, faiss, langchain, llms, pinecone",11.2,10.9,64.5,0.56,False,0.6102
CAND_0011168,0.6374,0.16,"embeddings, llms, pinecone, rag",13.8,-1.0,50.5,0.74,True,0.6102
CAND_0014311,0.6441,0.2,"faiss, langchain, llms, pinecone, rag",9.8,-1.0,80.5,0.05,True,0.6098
CAND_0029627,0.6417,0.2,"faiss, langchain, llms, pinecone, rag",11.1,-1.0,47.0,0.51,True,0.6097
CAND_0035542,0.6409,0.16,"embeddings, faiss, llms, pinecone",11.4,30.6,27.5,0.74,True,0.6096
CAND_0093684,0.6392,0.16,"embeddings, faiss, llms, rag",12.5,42.2,62.4,0.72,False,0.6091
CAND_0021117,0.6334,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",14.0,-1.0,83.7,0.48,False,0.609
CAND_0044395,0.6474,0.16,"embeddings, faiss, langchain, llms",12.6,47.2,73.3,0.35,False,0.609
CAND_0035664,0.6463,0.16,"embeddings, faiss, llms, pinecone",11.5,-1.0,84.4,0.64,False,0.6086
CAND_0042429,0.6459,0.16,"embeddings, faiss, pinecone, rag",12.5,-1.0,65.6,0.29,True,0.6085
CAND_0015831,0.6323,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",14.7,-1.0,32.6,0.67,True,0.6085
CAND_0051537,0.634,0.12,"faiss, langchain, rag",13.4,20.5,64.5,0.5,True,0.6084
CAND_0017119,0.6382,0.16,"embeddings, langchain, llms, pinecone",14.5,43.0,69.3,0.59,False,0.6084
CAND_0099951,0.6454,0.2,"faiss, langchain, llms, pinecone, rag",14.0,-1.0,81.3,0.5,False,0.6083
CAND_0017837,0.6375,0.2,"embeddings, langchain, llms, pinecone, rag",14.5,-1.0,46.7,0.54,True,0.6083
CAND_0047431,0.6319,0.2,"embeddings, faiss, langchain, pinecone, rag",11.3,36.2,76.0,0.45,False,0.6083
CAND_0008102,0.6433,0.2,"embeddings, faiss, langchain, llms, rag",9.8,3.3,43.7,0.59,True,0.6082
CAND_0073632,0.6485,0.16,"faiss, llms, pinecone, rag",11.6,-1.0,66.2,0.22,True,0.6079
CAND_0087723,0.6429,0.16,"faiss, langchain, pinecone, rag",12.0,-1.0,45.0,0.65,True,0.6074
CAND_0026248,0.6353,0.2,"embeddings, langchain, llms, pinecone, rag",10.7,2.4,60.5,0.29,True,0.6073
CAND_0001980,0.6449,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",8.7,41.5,80.1,0.74,False,0.6072
CAND_0054462,0.651,0.2,"embeddings, faiss, langchain, llms, pinecone",12.3,19.2,83.4,0.14,False,0.6072
CAND_0067979,0.636,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",14.9,41.7,60.9,0.34,False,0.6072
CAND_0057320,0.6356,0.2,"embeddings, faiss, langchain, llms, rag",14.4,-1.0,79.7,0.65,False,0.6071
CAND_0012697,0.6353,0.16,"embeddings, faiss, langchain, llms",12.4,7.0,44.0,0.71,True,0.6071
CAND_0091364,0.6442,0.2,"embeddings, langchain, llms, pinecone, rag",10.0,30.5,54.3,0.62,False,0.607
CAND_0011223,0.6508,0.12,"embeddings, faiss, llms",13.9,32.3,73.4,0.56,False,0.6066
CAND_0006334,0.6405,0.16,"embeddings, faiss, llms, pinecone",10.4,24.5,48.1,0.35,True,0.6062
CAND_0067475,0.6419,0.16,"faiss, llms, pinecone, rag",14.2,-1.0,75.9,0.77,False,0.606
CAND_0041662,0.6596,0.2,"faiss, langchain, llms, pinecone, rag",13.1,-1.0,47.0,0.08,True,0.6057
CAND_0076006,0.668,0.16,"embeddings, faiss, pinecone, rag",13.7,39.3,67.0,0.07,False,0.6054
CAND_0007965,0.6368,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",11.5,16.1,55.9,0.6,False,0.6052
CAND_0004330,0.6389,0.16,"embeddings, langchain, pinecone, rag",13.8,27.5,62.5,0.74,False,0.6052
CAND_0005248,0.6455,0.2,"faiss, langchain, llms, pinecone, rag",10.6,29.0,62.9,0.41,False,0.6052
CAND_0056029,0.6426,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.5,-1.0,40.8,0.25,True,0.6052
CAND_0048859,0.6407,0.12,"faiss, pinecone, rag",13.4,-1.0,54.7,0.65,True,0.6052
CAND_0050943,0.6362,0.12,"embeddings, llms, rag",13.0,42.8,29.2,0.71,True,0.6048
CAND_0025634,0.6367,0.12,"langchain, llms, pinecone",9.9,-1.0,67.2,0.56,True,0.6048
CAND_0046199,0.6326,0.2,"embeddings, faiss, langchain, llms, pinecone",10.9,-1.0,72.0,0.08,True,0.6047
CAND_0077095,0.6445,0.16,"faiss, langchain, llms, rag",11.3,-1.0,65.5,0.19,True,0.6047
CAND_0067956,0.6513,0.16,"embeddings, langchain, llms, rag",11.5,43.1,32.9,0.19,True,0.6047
CAND_0085950,0.6479,0.16,"embeddings, faiss, langchain, llms",11.2,-1.0,61.2,0.19,True,0.6043
CAND_0069038,0.6425,0.2,"embeddings, faiss, llms, pinecone, rag",12.6,20.9,65.7,0.46,False,0.6042
CAND_0099844,0.635,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",12.4,39.5,68.9,0.14,False,0.604
CAND_0018477,0.6418,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",13.9,-1.0,47.9,0.1,True,0.6039
CAND_0058718,0.641,0.12,"embeddings, faiss, langchain",14.9,6.3,63.2,0.39,True,0.6037
CAND_0068057,0.6423,0.2,"embeddings, faiss, langchain, pinecone, rag",9.2,-1.0,77.4,0.33,True,0.6037
CAND_0021768,0.641,0.12,"embeddings, pinecone, rag",11.1,-1.0,75.7,0.24,True,0.6036
CAND_0021290,0.6373,0.2,"embeddings, faiss, llms, pinecone, rag",9.6,-1.0,45.6,0.66,True,0.6033
CAND_0082959,0.6433,0.08,"langchain, pinecone",13.1,2.4,67.2,0.51,True,0.6033
CAND_0056324,0.6341,0.2,"embeddings, faiss, llms, pinecone, rag",10.9,-1.0,29.7,0.71,True,0.6032
CAND_0096943,0.6451,0.16,"embeddings, faiss, llms, pinecone",12.2,48.5,41.1,0.72,False,0.6032
CAND_0035594,0.6415,0.16,"embeddings, faiss, langchain, llms",10.8,-1.0,36.2,0.68,True,0.6032
CAND_0012713,0.6519,0.16,"faiss, langchain, llms, rag",14.4,-1.0,70.3,0.6,False,0.6031
CAND_0050607,0.633,0.12,"llms, pinecone, rag",12.4,-1.0,63.6,0.55,True,0.6028
CAND_0098498,0.6473,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",13.4,-1.0,41.2,0.08,True,0.6026
CAND_0036847,0.6408,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",13.5,48.0,37.1,0.42,False,0.602
CAND_0027976,0.6411,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",12.6,-1.0,75.1,0.26,False,0.6019
CAND_0026922,0.6339,0.2,"faiss, langchain, llms, pinecone, rag",12.5,-1.0,47.5,0.37,True,0.6018
CAND_0077566,0.6518,0.12,"langchain, llms, pinecone",13.8,-1.0,43.2,0.54,True,0.6017
CAND_0080665,0.6336,0.16,"langchain, llms, pinecone, rag",10.4,-1.0,48.8,0.54,True,0.6014
CAND_0084524,0.6333,0.16,"faiss, langchain, pinecone, rag",11.4,-1.0,41.6,0.66,True,0.6013
CAND_0041562,0.6323,0.16,"embeddings, langchain, pinecone, rag",12.1,-1.0,60.6,0.36,True,0.6012
CAND_0081313,0.6371,0.16,"embeddings, faiss, llms, rag",14.5,-1.0,58.4,0.31,True,0.601
CAND_0017575,0.6411,0.12,"faiss, langchain, pinecone",12.9,6.1,52.7,0.46,True,0.6006
CAND_0035204,0.6382,0.2,"embeddings, faiss, langchain, pinecone, rag",11.3,-1.0,76.1,0.45,False,0.6006
CAND_0059623,0.6433,0.2,"embeddings, faiss, langchain, pinecone, rag",11.4,-1.0,74.9,0.38,False,0.6005
CAND_0041211,0.6521,0.2,"embeddings, faiss, langchain, llms, rag",9.0,-1.0,81.7,0.12,True,0.6005
CAND_0020019,0.6331,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",11.7,-1.0,40.4,0.25,True,0.6002
CAND_0048526,0.6549,0.16,"embeddings, faiss, langchain, rag",11.9,47.8,42.9,0.43,False,0.6001
CAND_0031707,0.65,0.12,"faiss, pinecone, rag",11.0,48.7,40.8,0.07,True,0.6001
CAND_0080223,0.6401,0.2,"embeddings, faiss, langchain, llms, rag",10.0,-1.0,84.0,0.27,False,0.6001
CAND_0097572,0.6607,0.08,"embeddings, pinecone",14.9,30.3,69.9,0.45,False,0.5999
CAND_0012598,0.6495,0.16,"embeddings, faiss, langchain, llms",11.6,-1.0,78.0,0.4,False,0.5998
CAND_0080615,0.6335,0.16,"faiss, langchain, llms, pinecone",11.4,-1.0,71.2,0.78,False,0.5997
CAND_0043029,0.6343,0.2,"embeddings, faiss, langchain, llms, rag",10.2,-1.0,81.7,0.39,False,0.5997
CAND_0021757,0.6342,0.2,"embeddings, faiss, langchain, llms, rag",11.4,-1.0,48.2,0.28,True,0.5996
CAND_0032764,0.6429,0.16,"embeddings, faiss, langchain, rag",9.5,-1.0,65.3,0.38,True,0.5995
CAND_0009707,0.635,0.16,"embeddings, langchain, llms, rag",11.2,48.0,51.8,0.59,False,0.5995
CAND_0057202,0.6437,0.16,"embeddings, langchain, pinecone, rag",13.9,-1.0,70.1,0.62,False,0.5995
CAND_0053099,0.6364,0.2,"embeddings, faiss, langchain, pinecone, rag",13.3,-1.0,70.7,0.53,False,0.5994
CAND_0024839,0.6456,0.16,"embeddings, faiss, llms, pinecone",14.0,-1.0,59.4,0.76,False,0.5993
CAND_0029275,0.6382,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",12.3,24.0,33.2,0.66,False,0.5987
CAND_0068716,0.6322,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",14.8,29.3,66.8,0.13,False,0.5982
CAND_0062751,0.6482,0.2,"embeddings, faiss, langchain, pinecone, rag",9.7,-1.0,30.3,0.5,True,0.5982
CAND_0019726,0.6342,0.16,"embeddings, llms, pinecone, rag",11.8,-1.0,30.7,0.72,True,0.5981
CAND_0007587,0.6534,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.5,-1.0,38.5,0.53,False,0.5979
CAND_0052750,0.6412,0.2,"embeddings, faiss, langchain, pinecone, rag",9.6,34.9,49.2,0.67,False,0.5978
CAND_0012133,0.6508,0.12,"embeddings, langchain, rag",9.8,39.3,40.1,0.22,True,0.5978
CAND_0066748,0.647,0.12,"embeddings, faiss, langchain",10.2,-1.0,82.6,0.5,False,0.5978
CAND_0082330,0.6395,0.2,"embeddings, faiss, llms, pinecone, rag",14.2,26.6,33.5,0.11,True,0.5978
CAND_0010108,0.6438,0.08,"faiss, llms",12.0,-1.0,84.5,0.71,False,0.5975
CAND_0001095,0.6349,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.5,-1.0,58.1,0.5,False,0.5975
CAND_0036923,0.64,0.12,"embeddings, faiss, pinecone",13.3,-1.0,44.1,0.58,True,0.5975
CAND_0092696,0.6349,0.16,"faiss, langchain, llms, pinecone",12.7,38.6,43.8,0.75,False,0.5974
CAND_0098617,0.6411,0.16,"embeddings, langchain, pinecone, rag",12.3,-1.0,52.5,0.22,True,0.5974
CAND_0068512,0.6478,0.2,"embeddings, faiss, langchain, llms, rag",12.6,-1.0,31.1,0.26,True,0.5973
CAND_0056954,0.6341,0.16,"embeddings, faiss, langchain, rag",12.9,12.5,63.5,0.69,False,0.5973
CAND_0058592,0.6327,0.2,"embeddings, faiss, langchain, llms, rag",14.9,-1.0,73.4,0.47,False,0.5972
CAND_0070407,0.6329,0.16,"embeddings, faiss, llms, pinecone",11.9,37.6,49.0,0.69,False,0.5969
CAND_0018910,0.6368,0.16,"embeddings, faiss, llms, pinecone",10.0,31.1,58.0,0.54,False,0.5969
CAND_0012067,0.6399,0.16,"embeddings, faiss, llms, pinecone",9.5,25.2,32.9,0.63,True,0.5969
CAND_0022196,0.6361,0.2,"embeddings, faiss, llms, pinecone, rag",13.9,-1.0,50.3,0.12,True,0.5968
CAND_0095395,0.6392,0.2,"embeddings, faiss, langchain, llms, rag",11.0,-1.0,63.3,0.51,False,0.5965
CAND_0094691,0.6385,0.16,"embeddings, langchain, llms, rag",10.6,24.7,59.9,0.53,False,0.5965
CAND_0060550,0.645,0.08,"faiss, langchain",13.3,-1.0,78.8,0.75,False,0.5964
CAND_0014370,0.635,0.12,"embeddings, llms, pinecone",12.8,-1.0,41.6,0.67,True,0.5964
CAND_0086969,0.652,0.2,"embeddings, faiss, langchain, pinecone, rag",12.6,-1.0,66.3,0.24,False,0.5963
CAND_0059849,0.6316,0.16,"embeddings, faiss, llms, pinecone",11.6,33.4,83.8,0.15,False,0.5962
CAND_0061391,0.6364,0.16,"embeddings, langchain, pinecone, rag",13.7,7.8,29.2,0.57,True,0.5962
CAND_0086168,0.6328,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",9.2,10.4,48.8,0.41,True,0.5962
CAND_0089263,0.6333,0.12,"faiss, langchain, llms",13.0,-1.0,78.8,0.73,False,0.596
CAND_0037362,0.6323,0.12,"faiss, langchain, rag",13.6,-1.0,42.0,0.69,True,0.5959
CAND_0004843,0.6333,0.16,"faiss, langchain, pinecone, rag",14.3,-1.0,50.0,0.34,True,0.5958
CAND_0097684,0.6377,0.12,"embeddings, llms, pinecone",11.4,38.1,82.9,0.2,False,0.5957
CAND_0011107,0.6361,0.04,rag,10.6,49.8,78.3,0.58,False,0.5956
CAND_0096206,0.6353,0.2,"embeddings, faiss, llms, pinecone, rag",10.7,-1.0,62.7,0.55,False,0.5955
CAND_0008046,0.6494,0.2,"embeddings, faiss, langchain, llms, rag",12.3,-1.0,77.4,0.07,False,0.5955
CAND_0084306,0.6429,0.2,"faiss, langchain, llms, pinecone, rag",9.9,-1.0,68.6,0.37,False,0.5949
CAND_0014257,0.6473,0.16,"faiss, langchain, llms, rag",13.8,-1.0,39.5,0.24,True,0.5946
CAND_0054014,0.6321,0.2,"faiss, langchain, llms, pinecone, rag",13.4,-1.0,49.9,0.12,True,0.5946
CAND_0017540,0.643,0.2,"embeddings, faiss, llms, pinecone, rag",13.1,41.3,30.2,0.52,False,0.5946
CAND_0013186,0.6354,0.2,"embeddings, langchain, llms, pinecone, rag",11.5,-1.0,46.9,0.78,False,0.5945
CAND_0066707,0.6343,0.2,"embeddings, faiss, langchain, pinecone, rag",12.0,-1.0,77.1,0.29,False,0.5944
CAND_0025902,0.6453,0.16,"embeddings, faiss, pinecone, rag",13.7,-1.0,31.3,0.4,True,0.5943
CAND_0076474,0.6389,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",11.7,-1.0,60.9,0.28,False,0.5943
CAND_0008265,0.6369,0.12,"faiss, llms, pinecone",13.2,-1.0,41.0,0.57,True,0.5941
CAND_0058674,0.6327,0.16,"embeddings, faiss, llms, rag",12.5,48.0,53.0,0.42,False,0.5939
CAND_0060712,0.6438,0.16,"langchain, llms, pinecone, rag",12.2,-1.0,30.2,0.43,True,0.5939
CAND_0024506,0.646,0.08,"llms, pinecone",14.4,-1.0,52.9,0.41,True,0.5937
CAND_0073877,0.6511,0.12,"embeddings, faiss, langchain",10.2,13.8,76.1,0.26,False,0.5936
CAND_0079674,0.6328,0.12,"faiss, langchain, pinecone",9.5,39.0,73.0,0.7,False,0.5936
CAND_0018393,0.6391,0.2,"embeddings, faiss, langchain, llms, pinecone",11.4,-1.0,57.2,0.51,False,0.5934
CAND_0051435,0.6385,0.16,"faiss, langchain, pinecone, rag",8.0,24.4,81.8,0.73,True,0.5934
CAND_0076977,0.6332,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",9.7,-1.0,78.0,0.25,False,0.5931
CAND_0091686,0.6319,0.16,"faiss, langchain, pinecone, rag",12.2,-1.0,32.4,0.55,True,0.5927
CAND_0074754,0.6371,0.16,"embeddings, faiss, langchain, rag",13.0,-1.0,28.4,0.53,True,0.5926
CAND_0078318,0.6372,0.12,"embeddings, faiss, langchain",8.5,40.4,77.8,0.5,True,0.5926
CAND_0055257,0.6442,0.16,"embeddings, faiss, llms, pinecone",13.0,-1.0,55.1,0.62,False,0.5922
CAND_0098168,0.6349,0.16,"faiss, langchain, llms, pinecone",10.7,-1.0,64.5,0.61,False,0.592
CAND_0000322,0.6567,0.12,"embeddings, langchain, pinecone",12.0,-1.0,84.3,0.11,False,0.5918
CAND_0034880,0.6596,0.2,"embeddings, faiss, langchain, llms, rag",8.4,-1.0,63.0,0.41,True,0.5916
CAND_0076752,0.6452,0.16,"embeddings, langchain, llms, rag",10.5,-1.0,56.1,0.56,False,0.5914
CAND_0028971,0.6409,0.2,"embeddings, faiss, langchain, llms, rag",9.3,-1.0,58.5,0.19,True,0.5914
CAND_0060786,0.6336,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",10.0,-1.0,56.1,0.34,False,0.591
CAND_0033062,0.6385,0.16,"faiss, langchain, llms, pinecone",9.9,1.8,70.1,0.47,False,0.5909
CAND_0036202,0.6399,0.08,"faiss, rag",15.0,-1.0,80.7,0.62,False,0.5909
CAND_0096474,0.6318,0.2,"embeddings, faiss, langchain, pinecone, rag",10.8,-1.0,43.1,0.78,False,0.5909
CAND_0014948,0.6387,0.2,"embeddings, faiss, langchain, pinecone, rag",8.3,32.0,77.2,0.24,True,0.5908
CAND_0061040,0.6345,0.2,"embeddings, faiss, langchain, llms, pinecone",13.3,-1.0,57.1,0.49,False,0.5905
CAND_0021885,0.6525,0.2,"embeddings, faiss, langchain, llms, pinecone",9.4,13.7,37.1,0.78,False,0.5903
CAND_0027270,0.6424,0.2,"embeddings, faiss, langchain, llms, rag",11.7,-1.0,34.7,0.72,False,0.5902
CAND_0084143,0.6391,0.16,"embeddings, faiss, llms, pinecone",12.8,-1.0,66.7,0.44,False,0.5901
CAND_0004320,0.6423,0.2,"embeddings, faiss, langchain, llms, pinecone",12.5,7.5,48.2,0.42,False,0.5901
CAND_0036891,0.6389,0.16,"embeddings, faiss, pinecone, rag",9.4,-1.0,38.4,0.65,True,0.5901
CAND_0037919,0.6481,0.16,"embeddings, llms, pinecone, rag",9.6,7.9,79.7,0.26,False,0.5901
CAND_0050222,0.6361,0.16,"faiss, langchain, llms, rag",12.6,-1.0,55.8,0.67,False,0.59
CAND_0092195,0.6342,0.2,"embeddings, langchain, llms, pinecone, rag",9.4,-1.0,52.4,0.29,True,0.59
CAND_0026624,0.6402,0.2,"embeddings, faiss, langchain, llms, pinecone",11.4,-1.0,42.5,0.62,False,0.5899
CAND_0071763,0.6334,0.16,"embeddings, faiss, pinecone, rag",9.5,49.3,84.8,0.06,False,0.5897
CAND_0037081,0.6443,0.16,"faiss, langchain, llms, rag",12.6,-1.0,63.4,0.39,False,0.5896
CAND_0036898,0.6606,0.08,"embeddings, langchain",11.5,-1.0,77.6,0.28,False,0.5895
CAND_0071369,0.6369,0.16,"embeddings, langchain, llms, rag",10.4,-1.0,65.1,0.48,False,0.5894
CAND_0031676,0.644,0.2,"embeddings, faiss, langchain, llms, pinecone",9.5,-1.0,25.4,0.49,True,0.5894
CAND_0005280,0.6367,0.12,"faiss, langchain, rag",12.7,-1.0,83.2,0.38,False,0.5893
CAND_0063621,0.6572,0.16,"embeddings, faiss, langchain, pinecone",11.5,-1.0,39.8,0.56,False,0.5893
CAND_0085219,0.6368,0.16,"embeddings, langchain, pinecone, rag",11.2,-1.0,62.5,0.52,False,0.5892
CAND_0060894,0.6399,0.16,"langchain, llms, pinecone, rag",12.6,-1.0,73.6,0.28,False,0.5892
CAND_0034449,0.6321,0.16,"embeddings, faiss, langchain, rag",11.0,-1.0,81.3,0.28,False,0.5891
CAND_0043800,0.6406,0.16,"embeddings, faiss, langchain, llms",10.6,-1.0,33.2,0.27,True,0.589
CAND_0031652,0.6367,0.16,"faiss, llms, pinecone, rag",13.2,-1.0,72.0,0.35,False,0.5889
CAND_0050506,0.6402,0.24,"embeddings, faiss, langchain, llms, pinecone, rag",11.7,-1.0,55.4,0.17,False,0.5889
